,localidad_id,lon,lat,distance,google_distance,ban_lon,ban_lat,place_id
0,644470,-98.2330551147,19.3122215271,0.844490074102,0.850544606412,-98.2393214,19.3170694,ChIJaz5QJzzZz4URCrzgP-JjiC8
1,644472,-98.2588882446,19.2950000763,3.21322859944,3.20076789487,-98.2393214,19.3170694,ChIJaz5QJzzZz4URCrzgP-JjiC8
2,290236,-98.238609314,19.3166675568,0.0802233054117,0.087090864863,-98.2393214,19.3170694,ChIJaz5QJzzZz4URCrzgP-JjiC8
3,644469,-98.2169418335,19.3358325958,3.12706626712,3.01799040639,-98.1949793,19.3183204,ChIJ3dzI5evez4UR8RVyqJGK-6c
4,210354,-105.206047058,21.8083362579,0.274222845436,0.24568399278,-105.2081916,21.80738,ChIJqRvFe1KvIIQRbmdkL2lQr0A
5,644474,-98.2358322144,19.2775001526,4.42065338636,4.41649701096,-98.2393214,19.3170694,ChIJaz5QJzzZz4URCrzgP-JjiC8
6,265727,-98.2672348022,19.3151283264,2.95056016933,2.93797159484,-98.2393214,19.3170694,ChIJaz5QJzzZz4URCrzgP-JjiC8
7,639600,-100.147544861,25.6325035095,12.1429759781,16.9273829131,-100.3118432,25.6674902,ChIJXUpbky6-YoYR0Eomt52R5Xc
8,196816,-103.209442139,20.5691661835,13.0287638949,7.54926622328,-103.2422601,20.6296869,ChIJZV8-yV-0KIQRKFOLmpIh2JM
9,185907,-98.9582138062,19.8135948181,6.14538383533,16.9753095661,-98.869609,19.685779,ChIJPyef1vnq0YURa3FcUnqTlUk
10,688693,-100.40246582,25.8185367584,16.0495225264,15.0770385655,-100.3516325,25.6909544,ChIJgyCBQAqWYoYR5NJ8T5a4pOM
11,196139,-103.401947021,20.4644451141,18.5530174785,14.2051054177,-103.3213343,20.5674475,ChIJjYiqYy5NL4QRm31azwFx9ro
12,196125,-103.443054199,20.4736118317,17.6565116913,16.4230006129,-103.3213343,20.5674475,ChIJjYiqYy5NL4QRm31azwFx9ro
13,185901,-98.9815826416,19.8410892487,8.5580770892,20.8762108726,-98.869609,19.685779,ChIJPyef1vnq0YURa3FcUnqTlUk
14,215074,-100.187774658,25.6294441223,8.74118320091,13.1404320317,-100.3118432,25.6674902,ChIJXUpbky6-YoYR0Eomt52R5Xc
15,265830,-98.1040496826,19.4414157867,5.52510212642,3.65633347402,-98.1334245,19.4237186,ChIJbQNvH6cf0IURQgafvt-Gw9A
16,210490,-105.431663513,22.4047222137,2.55684856539,2.72692508829,-105.4563978,22.3958849,ChIJkwVKnAFDnoYRtyYomu9lHwY
17,137300,-92.2418060303,14.9488248825,2.021001588,3.0772119145,-92.2584663,14.9263249,ChIJz-ZgHQgn7YURMmZjPoy3ciI
18,210395,-105.203056335,21.8017673492,0.843501820477,0.819141190677,-105.2081916,21.80738,ChIJqRvFe1KvIIQRbmdkL2lQr0A
19,288535,-105.417221069,22.3824996948,4.27185637321,4.295410609,-105.4563978,22.3958849,ChIJkwVKnAFDnoYRtyYomu9lHwY
20,137336,-92.2767333984,14.8702335358,1.3864653167,4.31701847306,-92.2631997,14.906775,ChIJ8djCkSY9k4URYovutRIot6U
21,279433,-98.9461517334,19.8419876099,4.99653638836,19.1334745731,-98.869609,19.685779,ChIJPyef1vnq0YURa3FcUnqTlUk
22,293575,-98.411781311,20.0651893616,4.4827442817,4.71495388864,-98.3699629,20.0811292,ChIJY1LHcOUJ0YURqikzqH0tnzM
23,137006,-92.2607574463,14.8259391785,5.39667531543,8.99518764292,-92.2631997,14.906775,ChIJ8djCkSY9k4URYovutRIot6U
24,124927,-93.7204284668,16.698682785,0.0943520071307,missing,missing,missing,missing
25,185902,-98.9556427002,19.8845462799,8.58011809498,23.619841466,-98.8349094,19.7051349,ChIJi9K4XCDA0YUR-7XqLdeVhK0
26,210408,-105.116004944,21.8014602661,9.57322462472,9.54305578365,-105.2081916,21.80738,ChIJqRvFe1KvIIQRbmdkL2lQr0A
27,210380,-105.278694153,21.8646469116,9.64240745505,9.67279819747,-105.2081916,21.80738,ChIJqRvFe1KvIIQRbmdkL2lQr0A
28,210372,-105.243652344,21.7191619873,10.4628111253,10.4739383813,-105.2081916,21.80738,ChIJqRvFe1KvIIQRbmdkL2lQr0A
29,646204,-93.2084350586,16.7868747711,9.30785020059,6.37350451479,-93.1608473,16.7521293,ChIJlwF6eXTZ7IURaOhbmN_-jzY
30,291854,-92.3125076294,14.82310009,7.68275968029,10.7108909353,-92.2631997,14.906775,ChIJ8djCkSY9k4URYovutRIot6U
31,281306,-100.126663208,25.6355552673,13.9934271706,18.9042398446,-100.3118432,25.6674902,ChIJXUpbky6-YoYR0Eomt52R5Xc
